Book,Date,Pg. Number,Document Pg. Number,Header,Entry
Diary 1954-1861,1854-10-28,29,54,N/A,"28. Musical Party at Liszt's at 2 o'clock. Clara Schumann - a melancholy, interesting looking creature. Her husband went mad a year ago, and she has to support 8 children!"
Diary 1954-1861,1854-10-29,29,54,N/A,29. Sunday. Breakfasted quietly en famille with the Princess and Liszt. Saw some fine sketches from Dante by Koch.
Diary 1954-1861,1854-10-30,29,54,N/A,"30. I wrote to Mr. Chapman, acknowledging the receipt of the £15 for my article on Mde. de Sablé. G. dined at Mr.J. Horrocks's and in the evening we had music at Mr. Wilson's."
Diary 1954-1861,1854-11-01,29,54,N/A,November 1. Wednesday. Breakfasted at Liszt's and said goodbye. The Marquis de Ferriere and Cornelius there.
Diary 1954-1861,1854-11-02,29,54,N/A,"2 Thursday. Packed this morning. In the afternoon Mr. Marshall, Mr. Wilson and young Osborne came to say goodbye. L. went to the Schloss in the evening, and while he was away Liszt came to say goodbye and brought me a parcel of Bon-bons from the Princess."
Diary 1954-1861,1854-11-03,29,54,N/A,"3 Friday. Hofrath Schöll came to say goodbye and brought me Uhland's poems as a parting present. We set off from the Weimar station at 1/2 past one, and reached Berlin at 1/2 past 9. Went to the Hôtel de l'Europe in the Taubenstrasse."
Diary 1954-1861,,,,N/A,
Diary 1954-1861,Section 2: Berlin,,,N/A,
Diary 1954-1861,1854-11-04,33,58,N/A,"4 Saturday. After Breakfast went out in search of lodgings, and at length fixed on 62, Dorotheen Strasse, at 28 thalers per month. Dined at the Hotel de l'Europe and at 6 o'clock came to our lodgings and unpacked."
Diary 1954-1861,1854-11-05,33,58,N/A,Sunday 5. A bright morning. We walked out and met Varnhagen in the Linden. Dined at the Hôtel de l'Europe. In the evening G. went to Fräulein Solmar's. Berlin is very much what I expected. The people look very smart and brisk after the Weimarians.
Diary 1954-1861,1854-11-07,33,58,N/A,Tuesday 7. Varnhagen called and invited us to take tea with him on Thursday. A fine looking courtly old man. He told us ofhis disappointment in Carlyle when after years of correspondence they at last met in the body. Carlyle was full of anathemas against the Frau von Stein. Read Vehse's Weimar in the evening.
Diary 1954-1861,1854-11-08,33,58,N/A,Wednesday 8. Began translating Spinoza's Ethics. Wrote to Mrs. Robert Noel to thank her for trying to get me an introduction to Humboldt. Read Wilhelm Meister aloud in the evening.
Diary 1954-1861,1854-11-09,33,58,N/A,"Thursday. 9. Read Rosenkranz on the Faust Sage. Translated Spinoza. Dessoir came and staid more than an hour. Then we walked out and looked at the engravings in the Linden. At so' clock went to Varnhagen's and found a very pleasant little party: Fraulein Solmar, Frau Nimsch, Doctor Ring, Dr. Vehse, Grafin von Kalkreit, and Director Wilhelm Schadow, author of""Der moderne Vasari"". We talked of Goethe; Varnhagen brought out autographs and portraits and read us an epigram ofhis own on the want ofliberality which Goethe's family shew about opening his house to the public. He showed us a portrait of Kleist who shot himselfin company with Frau Vogel near an inn on the way to Potsdam. There was no love affair between them: they were both thoroughly unhappy, he poor and hopeless for the future, and she suffering from an incurable disease. In the evening they both wrote on a single sheet of paper letters to their friends communicating their intention. (This sheet Varnhagen possesses.) Early in the morning they rose, took a cup of coffee, went to the brink of a piece of water in the neighbourhood of the inn and there shot themselves. We came away at 8. Fraulein Assing, Varnhagen's niece, lent me a volume of Heine's poems. I read aloud ""Donna Clara'' and then Wilhelm Meister till 10."
Diary 1954-1861,1854-11-10,33-34,58-59,N/A,"10 Friday. We walked through the Museum this morning and were struck with the beauty of the interior and the excellent arrangement of the works of art. Not many very valuable pictures, but still an interesting collection. Titian's daughter, Correggio's ""Schweisstuch"" and some portraits of Titian's school particularly impressed me. We came home and wrote a little. The day then became very unpleasant with snow and sleet. We battled our way to the Hotel de
l'Europe for dinner and enjoyed the thought of getting back into our warm rooms with the ""feste Vorschlag"" not to turn out again. I read Wilhelm Meister aloud, and then G. read part of the Merchant of Venice."
Diary 1954-1861,1854-11-11,34,59,N/A,"11 Saturday. I read Heine's poems; wrote a few recollections of Weimar and translated Genealogical Tables of the Goethe family. Then we went to call on Fraulein von Solmar, who was exceedingly agreeable, and invited me to visit her when I pleased of an evening. Walked to the Wilhelmsplatz and Leipziger Platz, for the first time. In the evening went to see ""Nathan der Weise"". The Theatre very elegant and comfortable. Doring as Nathan excellent. The Patriarch immensely comic- ""Es thut nichts, der Jude wird verbrannt"", the essence of
the dogmatic spirit. Both thrilled by the grandeur of the sentiments. I felt that it was a noble inspiration which dictated such writing. The scenery was excellent, particularly a street inJ erusalem and the garden in the last scene. The sky was grand on our way to the theatre - the stars bright on a sable field. I began Lessing's Laocoon in bed."
Diary 1954-1861,1854-11-12,34,59,N/A,"12 Sunday. Wrote to Mr. Bray. Walked till dinner. Went to Kroll's-a wonderful kind of Casino, where there are concerts, theatricals, balls, and dinners. Read Wilhelm Meister and G's MS."
Diary 1954-1861,1854-11-13,34,59,N/A,"13 Monday. Letter from Mr. Noel enclosing a letter for Humboldt. Read
Laocoon. Translated Spinoza. Du Bois-Reymond called just as we came in from Dinner. He spoke very decidedly of the German civilization as inferior to the English. A handsome, young looking man. He spoke English very well, and accounted for it by telling us that he had an English wife. In the evening came Gruppe-a cordial, lively man. He gave us an interesting account ofhis work on the Cosmic systems of the Greeks."
Diary 1954-1861,1854-11-[14],34,59,N/A,"Tuesday. We took tea atFraulein von Solmar's. General Pfuhl, Varnhagen and his niece (Fräulein von Assing), Baron Sternberg, Drs. Crepet, and Vehse. In the morning Dessoir came, and after dinner Johannes von Muller called."
Diary 1954-1861,1854-11-15,34,59,N/A,"Wednesday. 15. G. called on Fanny Lewald. In the evening we went to
Spargnapini's, and had some chocolate and read the papers. G. finished reading allowed [sic] the Merchant of Venice, and I the first vol. of Wilhelm Meister."
Diary 1954-1861,1854-11-16,34,59,N/A,Thursday 16. Fanny Lewald called. Letter from Herbert Spencer.
Diary 1954-1861,1854-11-17,34,59,N/A,Friday 17. We strolled into the Museum and looked at the Flemish pictures. The beauty of detail and the marvellous painting of still life in some of the pictures which belong to a low development of art is very remarkable. Here is the original of Vandyke's famous portrait of Charles the 1st's children.
Diary 1954-1861,1854-11-[18],34,59,N/A,Saturday. Ill all day and unable to go out. G. finished Romeo and Juliet.
Diary 1954-1861,1854-11-19,34-35,59-60,N/A,"Sunday 19. Finished Lessing's Laocoon -the most un-German of all German books that I have ever read. The style is strong clear and lively, the thoughts acute and pregnant. It is well adapted to rouse an interest both in the classics and in the study of art. After working as usual, we walked in the Thier-garten and saw many new spots. In the evening we went to Fraulein von Solmar's."
Diary 1954-1861,1854-11-21,35,60,N/A,"Tuesday 21. Wrote to Herbert Spencer.L etters from Coventry. In the evening went to Gruppe's. Amusing simplicity with which he played the schoolboy's trick with the three lumps of sugar under three hats. He drew some Jews' faces with a pen admirably. We attempted ""Brag"" or ""Pochen"", bu t Gruppe presently
became alarmed at G's play and said ""Das wtirde an zwölf groschen reichen!"" Then G. diverted them with tricks and so concluded the evening rather brilliantly."
Diary 1954-1861,1854-11-[22],35,60,N/A,"Wednesday. Wrote letters to Coventry and to my brother. In the evening went to the theatre to see Emilia Galotti. The acting bad with the exception of Dessoir's (Masinelli). The play seems to me a wretched mistake of Lessing's. The Roman myth ofVirginius is grand, but the situation transported to modern times and divested ofits political bearing is simply shocking. Read Nathan on
coming home."
Diary 1954-1861,1854-11-[23],35,60,N/A,"Thursday 24 [23]. Began ""Briefe über Spinoza"". Walked a couple ofhours in the Thiergarten. The snow beautiful on the trees for the first time. Translated andwrote Recollections till dinner. In the evening Rauch, the sculptor came - the finest old man I ever saw and the most charming. His head is noble, his features harmonious and his expression extremely winning. He told us many interesting things about Goethe whom he knew well, and thoroughly agreed with G's quotation from Jung Stilling. Rauch is tall and finely formed; his beautiful head is surmounted with silky, wavy white hair, and when he is standing he is really grand. It was a sort of cordial to look at him, his face was so
beaming."
